Date;5 star;4 star;3 star;2 star;1 star;Version
2021-08-01 - 2021-08-31;16;1;5;4;35;2.1.2.6
2021-09-01 - 2021-09-30;9;1;4;3;36;2.1.2.7
2021-10-01 - 2021-10-31;14;3;5;3;33;2.1.2.12
2021-11-01 - 2021-11-30;14;3;4;0;27;2.1.2.13
2021-12-01 - 2021-12-31;9;2;1;1;22;2.1.2.14
2022-01-01 - 2022-01-31;12;1;0;2;16;2.1.2.15
2022-02-01 - 2022-02-28;3;1;2;2;13;2.1.2.16
2022-03-01 - 2022-03-31;210;31;25;16;189;2.1.2.17
2022-04-01 - 2022-04-30;246;42;39;21;232;2.1.2.18
2022-05-01 - 2022-05-31;157;19;34;25;109;2.1.2.19
2022-06-01 - 2022-06-30;1763;129;42;20;127;2.1.2.20
2022-07-01 - 2022-07-31;579;53;18;11;102;2.1.2.21
2022-08-01 - 2022-08-31;650;69;27;18;86;2.1.2.22
2022-09-01 - 2022-09-30;449;35;13;13;75;2.2.0.1
2022-10-01 - 2022-10-31;509;62;21;12;125;2.2.0.2
2022-11-01 - 2022-11-30;346;36;19;4;81;2.2.0.3
2022-12-01 - 2022-12-31;298;20;11;10;104;2.2.0.4
2023-01-01 - 2023-01-31;273;23;19;6;123;2.2.0.5
2023-02-01 - 2023-02-28;270;15;13;7;81;2.2.0.6
2023-03-01 - 2023-03-31;284;14;9;4;74;2.2.0.7
2023-04-01 - 2023-04-30;324;26;14;7;103;2.2.0.8
2023-05-01 - 2023-05-31;360;27;18;13;68;2.2.0.9
2023-06-01 - 2023-06-30;316;20;14;11;69;2.2.0.10
2023-07-01 - 2023-07-31;404;39;21;10;68;2.2.0.11
2023-08-01 - 2023-08-31;341;26;8;11;46;2.2.0.12
2023-09-01 - 2023-09-11;90;5;7;3;21;2.2.0.13
