sep=,
From: 2023-01-01,Store: googleplay,Cid: 190747,To: 2023-09-13,Ext_id: com.BanqueMisr.MobileBanking
Submission date,Publication date,AppID,AppName,Country,Review Language,Version,Author,Rating,Title,Review,Translated title,Translated review,Reply Date,Developer Reply,User,Tags,Categories,Updated,Semantic Tags,Semantic Categories,Semantic Sentiment,Notes,Likes,Dislikes,Link,Permalink,AF Link,Device Name,OS
2023-09-11T16:36:58,2023-09-13T01:35:00,com.BanqueMisr.MobileBanking,,,ar,2.2.0.22,Sefen Gerges,5,,فوق المممتاز,,,2023-09-11T17:37:18,سعداء لتقييمك الايجابي و بنتمني اننا نكون دايما عند حسن ظنك .,,,,2023-09-13T01:35:00,,,,,0,0,,https://appfollow.io/gp/2168/review/5530563789?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/445008?review_id=5530563789,,
2023-09-11T15:38:59,2023-09-13T01:35:00,com.BanqueMisr.MobileBanking,,,ar,2.2.0.22,Esmail Rabie,5,,Beautiful,,,2023-09-11T17:38:14,"Thank you for taking the time to write this feedback, we are very pleased with your positive review",,,,2023-09-13T01:35:00,,,,,0,0,,https://appfollow.io/gp/2168/review/5530563788?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/445008?review_id=5530563788,,
2023-09-11T15:24:10,2023-09-13T01:35:00,com.BanqueMisr.MobileBanking,,,ar,,Adel Younes,1,,ما زالت عند راى انتو لا تصلحو لان تكون بنك حول النشاط لبوسطه لبيع طوابع البريد وتوزيع معاشات كبار السن وبرضو هتفشلو افشل بنك ممكن تتعامل معاه والله يخرب بيت ام الشركه اللى تعاقدت معكم اقفلوالبنك وافتحو بيع كشاكيل وكراريس ممكن تنجحو واشك فى ذلك لعنة الله على كل منشأة تحمل اسم مصر,,,2023-09-11T17:41:22,"نعتذر لحضرتك جدا وبناكد على حرصنا الدائم لتقديم أفضل خدمة لسيادتكم ممكن تتواصل معانا من خلال: Bm19888@banquemisr.com
او الاتصال على 19888 وذلك حفاظا علي سرية المعلومات الخاصة بك ولحل المشكلة التي تواجه سيادتكم.
",,,,2023-09-13T01:35:00,,,,,0,0,,https://appfollow.io/gp/2168/review/5530563787?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/445008?review_id=5530563787,,
2023-09-11T12:47:28,2023-09-13T01:35:00,com.BanqueMisr.MobileBanking,,,fa,2.2.0.22,YASSER140780 Elsadany,5,,ممتاز,,,2023-09-11T13:13:18,شكرا علي تقيمك و نتمني ان نكون علي مستوي توقعاتك,,,,2023-09-13T01:35:00,,,,,0,0,,https://appfollow.io/gp/2168/review/5530563786?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/445008?review_id=5530563786,,
2023-09-11T11:25:54,2023-09-13T01:35:00,com.BanqueMisr.MobileBanking,,,ar,2.2.0.22,منوعات وبس funny,2,,لما حد يبعتلي فلوس من محفظة تاني زي محفظة اتصالات مثلا مبيظهرش عندي اسمه ولاالرقم اللي بعتلي ولا اي بيانات ليه,,,2023-09-11T13:24:43,يرجي العلم انه في حالة الاستفسار بخصوص استقبال تحويل على محفظة بنك مصر فأنه يتم معرفة رقم المحفظة المرسل منها المبلغ,,,,2023-09-13T01:35:00,,,,,0,0,,https://appfollow.io/gp/2168/review/5530563785?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/445008?review_id=5530563785,,
2023-09-11T11:23:56,2023-09-13T01:35:00,com.BanqueMisr.MobileBanking,,,fa,2.2.0.22,حسن ابو علي,5,,ممتاز,,,2023-09-11T13:12:50,شكرا علي تقيمك و نتمني ان نكون علي مستوي توقعاتك,,,,2023-09-13T01:35:00,,,,,0,0,,https://appfollow.io/gp/2168/review/5530563784?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/445008?review_id=5530563784,,
2023-09-11T10:53:23,2023-09-13T01:36:52,com.BanqueMisr.MobileBanking,,,en,2.2.0.22,Yossef Sherif,5,,Good and easy to use,,,2023-09-11T13:12:15,"Thank you for taking the time to write this feedback, we are very pleased with your positive review",,,,2023-09-13T01:36:52,,,,,0,0,,https://appfollow.io/gp/2168/review/5530564030?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/445008?review_id=5530564030,,
2023-09-11T09:41:04,2023-09-13T01:36:52,com.BanqueMisr.MobileBanking,,,ar,2.2.0.22,Hussein Aly,5,,البرنامج ممتاز ويعتمد عليه,,,2023-09-11T13:10:45,سعداء لتقييمك الايجابي و بنتمني اننا نكون دايما عند حسن ظنك,,,,2023-09-13T01:36:52,,,,,0,0,,https://appfollow.io/gp/2168/review/5530564029?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/445008?review_id=5530564029,,
2023-09-10T16:27:51,2023-09-12T10:43:00,com.BanqueMisr.MobileBanking,,sa,fa,,Sasa Farg,5,,ممتاز,,,2023-09-11T13:09:34,سعداء لتقييمك الايجابي و بنتمني اننا نكون دايما عند حسن ظنك,,,,2023-09-12T10:43:00,,,,,,,,https://appfollow.io/gp/2168/review/5528709771?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/445008?review_id=5528709771,,
2023-09-10T10:42:36,2023-09-13T01:36:52,com.BanqueMisr.MobileBanking,,,en,2.2.0.22,Fatma Abuelela,5,,perfect,,,2023-09-10T15:17:52,Thank you for taking the time to write this feedback and we hope to live upto your expectations,,,,2023-09-13T01:36:52,,,,,0,0,,https://appfollow.io/gp/2168/review/5530564028?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/445008?review_id=5530564028,,
